Common name	Scientific name	Status	No.	No. Back
White-throated Hawk	Buteo albigula		9	0
Short-tailed Hawk	Buteo brachyurus		33	1
Swainson's Hawk	Buteo swainsoni		21	2
Zone-tailed Hawk	Buteo albonotatus		28	2
Red-tailed Hawk	Buteo jamaicensis		94	22
Rufous-tailed Hawk	Buteo ventralis		2	0
Ferruginous Hawk	Buteo regalis		4	0
Rough-legged Buzzard	Buteo lagopus		14	3
Red-legged Seriema	Cariama cristata		63	30
Black-legged Seriema	Chunga burmeisteri		18	0
Sunbittern	Eurypyga helias		55	11
Sungrebe	Heliornis fulica		21	2
Yellow Rail	Coturnicops noveboracensis		31	11
Speckled Rail	Coturnicops notatus		0	0
Ocellated Crake	Micropygia schomburgkii		42	1
Chestnut-headed Crake	Anurolimnas castaneiceps		41	31
Russet-crowned Crake	Laterallus viridis		107	12
Black-banded Crake	Laterallus fasciatus		29	3
Rufous-sided Crake	Laterallus melanophaius		111	27
Rusty-flanked Crake	Laterallus levraudi		14	1
Ruddy Crake	Laterallus ruber		29	12
White-throated Crake	Laterallus albigularis		58	23
Grey-breasted Crake	Laterallus exilis		98	10
Black Rail	Laterallus jamaicensis		95	2
Red-and-white Crake	Laterallus leucopyrrhus		19	0
Rufous-faced Crake	Laterallus xenopterus		20	0
Mangrove Rail	Rallus longirostris		43	0
King Rail	Rallus elegans		49	7
Plain-flanked Rail	Rallus wetmorei		12	0
Virginia Rail	Rallus limicola		147	35
Bogota Rail	Rallus semiplumbeus		41	1
Austral Rail	Rallus antarcticus		17	0
Corn Crake	Crex crex		259	109
Little Wood Rail	Aramides mangle		6	0
Rufous-necked Wood Rail	Aramides axillaris		13	0
Grey-necked Wood Rail	Aramides cajaneus		158	48
Brown Wood Rail	Aramides wolfi		12	0
Giant Wood Rail	Aramides ypecaha		44	4
Slaty-breasted Wood Rail	Aramides saracura		86	21
Red-winged Wood Rail	Aramides calopterus		3	0
Uniform Crake	Amaurolimnas concolor		53	2
Black Crake	Amaurornis flavirostra		42	10
